Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R1","10k","R_1206_3216Metric",-42.040000,-124.460000,0.000000,bottom
"R2","10k","R_1206_3216Metric",-42.040000,-127.000000,0.000000,bottom
"R3","10k","R_1206_3216Metric",-42.040000,-129.540000,0.000000,bottom
"R4","10k","R_1206_3216Metric",-42.040000,-132.080000,0.000000,bottom
"R5","10k","R_1206_3216Metric",-42.040000,-134.620000,0.000000,bottom
"R6","10k","R_1206_3216Metric",-42.040000,-137.160000,0.000000,bottom
"R7","10k","R_1206_3216Metric",-42.040000,-139.700000,0.000000,bottom
"R8","10k","R_1206_3216Metric",-42.040000,-142.240000,0.000000,bottom
"R9","47k","R_1206_3216Metric",-42.040000,-101.600000,0.000000,bottom
"R10","47k","R_1206_3216Metric",-42.040000,-104.140000,0.000000,bottom
"R11","47k","R_1206_3216Metric",-42.040000,-106.680000,0.000000,bottom
"R12","47k","R_1206_3216Metric",-42.040000,-109.220000,0.000000,bottom
"R13","47k","R_1206_3216Metric",-42.040000,-111.760000,0.000000,bottom
"R14","47k","R_1206_3216Metric",-42.040000,-114.300000,0.000000,bottom
"R15","47k","R_1206_3216Metric",-42.040000,-116.840000,0.000000,bottom
"R16","47k","R_1206_3216Metric",-42.040000,-119.380000,0.000000,bottom
"R17","220","R_1206_3216Metric",-39.400000,-97.000000,180.000000,bottom
"R18","220","R_1206_3216Metric",-46.400000,-97.000000,180.000000,bottom
"R19","220","R_1206_3216Metric",-53.400000,-97.000000,180.000000,bottom
"R20","220","R_1206_3216Metric",-60.400000,-97.000000,180.000000,bottom
"U1","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",-51.000000,-134.000000,90.000000,bottom
"U2","74HC165","SOIC-16_3.9x9.9mm_P1.27mm",-51.000000,-110.000000,90.000000,bottom
"U3","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",-43.000000,-86.000000,270.000000,bottom
"U4","4051","SOIC-16_3.9x9.9mm_P1.27mm",-57.000000,-86.000000,270.000000,bottom
